participant_id	condition_idx	onset	duration	start_tr	end_tr	n_trs	valence	arousal	valence_category	arousal_category	emotion_quadrant	CAP_1_frequency_pct	CAP_1_avg_dwell_time	CAP_1_max_dwell_time	CAP_1_min_dwell_time	CAP_1_std_dwell_time	CAP_1_total_dwell_time	CAP_1_n_visits	CAP_1_avg_dwell_time_sec	CAP_1_max_dwell_time_sec	CAP_1_total_dwell_time_sec	CAP_1_transitions_out	CAP_2_frequency_pct	CAP_2_avg_dwell_time	CAP_2_max_dwell_time	CAP_2_min_dwell_time	CAP_2_std_dwell_time	CAP_2_total_dwell_time	CAP_2_n_visits	CAP_2_avg_dwell_time_sec	CAP_2_max_dwell_time_sec	CAP_2_total_dwell_time_sec	CAP_2_transitions_out	CAP_3_frequency_pct	CAP_3_avg_dwell_time	CAP_3_max_dwell_time	CAP_3_min_dwell_time	CAP_3_std_dwell_time	CAP_3_total_dwell_time	CAP_3_n_visits	CAP_3_avg_dwell_time_sec	CAP_3_max_dwell_time_sec	CAP_3_total_dwell_time_sec	CAP_3_transitions_out	CAP_4_frequency_pct	CAP_4_avg_dwell_time	CAP_4_max_dwell_time	CAP_4_min_dwell_time	CAP_4_std_dwell_time	CAP_4_total_dwell_time	CAP_4_n_visits	CAP_4_avg_dwell_time_sec	CAP_4_max_dwell_time_sec	CAP_4_total_dwell_time_sec	CAP_4_transitions_out	CAP_5_frequency_pct	CAP_5_avg_dwell_time	CAP_5_max_dwell_time	CAP_5_min_dwell_time	CAP_5_std_dwell_time	CAP_5_total_dwell_time	CAP_5_n_visits	CAP_5_avg_dwell_time_sec	CAP_5_max_dwell_time_sec	CAP_5_total_dwell_time_sec	CAP_5_transitions_out	total_transitions	transition_rate	valence_t	arousal_t
sub-Blossom	0	3.0	1.5	2	3	1	6.81568083445789	3.5131454107115134	high	low	val_high_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	62.60934450151552	47.5970076667494
sub-Blossom	1	4.5	1.5	3	4	1	4.001626179888159	2.9646786424142104	high	low	val_high_ar_low	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	45.872597278348536	44.23182912554762
sub-Blossom	2	6.0	1.5	4	5	1	5.193668508580616	6.385532581274268	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0	0.0	52.962335603879204	65.2208569628684
sub-Blossom	3	7.5	1.5	5	6	1	7.0	5.528962366689572	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0	0.0	63.70559303281317	59.96527563730935
sub-Blossom	4	9.0	1.5	6	7	1	3.283846205178883	2.0547552580797523	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	41.60356079071244	38.648893523804475
sub-Blossom	5	10.5	1.5	7	8	1	5.114263947476276	3.9747886124092675	high	low	val_high_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0	0.0	52.490072541961865	50.42947060861148
sub-Blossom	6	12.0	1.5	8	9	1	5.524643908277621	5.921320512554656	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	54.93083027857216	62.372632453165124
sub-Blossom	7	13.5	1.5	9	10	1	6.663040358841734	6.095768899032936	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	61.70150674780914	63.44297982999245
sub-Blossom	8	15.0	1.5	10	11	1	2.085323422159864	2.0253487499959912	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	34.4752796011408	38.46846663981593
sub-Blossom	9	16.5	1.5	11	12	1	2.8804124492799392	4.018756146638679	low	high	val_low_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	39.204115995705116	50.69923827960038
