cap	character	metric	analysis	correlation	p_value	n
CAP_4	dusty	transitions_out	correlation_with_character_significance	-0.3592106040535498	0.7660919507180788	3
CAP_4	nancy	transitions_out	correlation_with_character_significance	-0.9843241382880896	0.11287033095824399	3
CAP_4	steve	transitions_out	correlation_with_character_significance	-0.9843241382880896	0.11287033095824399	3
CAP_3	dusty	transitions_out	correlation_with_character_significance	-0.10631081389064055	0.9321922954661525	3
CAP_3	nancy	transitions_out	correlation_with_character_significance	0.9563247157871202	0.18884542285752456	3
CAP_3	steve	transitions_out	correlation_with_character_significance	0.9563247157871203	0.18884542285752456	3
CAP_2	dusty	transitions_out	correlation_with_character_significance	0.9905360646879091	0.08765447833608711	3
CAP_2	nancy	transitions_out	correlation_with_character_significance	0.05241424183609589	0.9666167600124104	3
CAP_2	steve	transitions_out	correlation_with_character_significance	0.05241424183609593	0.9666167600124103	3
CAP_1	dusty	transitions_out	correlation_with_character_significance	-0.9989061072386718	0.029779821637699107	3
CAP_1	nancy	transitions_out	correlation_with_character_significance	-0.14285714285714288	0.9087421033140203	3
CAP_1	steve	transitions_out	correlation_with_character_significance	-0.14285714285714285	0.9087421033140203	3
